id	label	city	visit_times
499	Go	上海市	143
500	Unity3D	黑龙江省	30
501	Linux	广东省	22010
502	Java	江苏省	99560
503	Android	广东省	22843
504	WebApp	四川省	421
505	Java	全球 	52228
506	大数据	内蒙古自治区	194
507	Sass/Less	陕西省	2491
508	Unity3D	内蒙古自治区	222
509	CSS3	全球 	255
510	C	内蒙古自治区	6655
511	Sass/Less	福建省	1418
512	Html5	河南省	2564
513	动效动画	云南省	18
514	HTML/CSS	浙江省	195128
515	Java	重庆市	43232
516	前端工具	四川省	1859
517	Oracle	河南省	1139
518	jQuery	重庆市	4514
519	Python	江苏省	28567
520	SQLServer	天津市	13
521	Java	河北省	81230
522	Html5	福建省	1643
523	前端工具	黑龙江省	436
524	jQuery	广西壮族自治区	1706
525	Unity3D	山东省	887
526	Unity3D	湖南省	523
527	Html5	甘肃省	53
528	CSS3	贵州省	3
529	Java	黑龙江省	16512
530	Python	辽宁省	18222
531	iOS	北京市	7725
532	Oracle	湖南省	1325
533	Linux	福建省	2590
534	接口测试	四川省	24
535	大数据	吉林省	674
536	Go	内蒙古自治区	79
537	Android	湖南省	4447
538	Bootstrap	云南省	2828
539	Python	全球 	30060
540	Python	重庆市	10823
541	JavaScript	重庆市	26031
542	CSS3	北京市	6266
543	接口测试	江西省	96
544	Sass/Less	江苏省	2040
545	Html5	陕西省	1344
546	SQLServer	陕西省	548
547	C	福建省	25485
548	HTML/CSS	上海市	167700
549	前端工具	云南省	358
550	Android	江西省	3058
551	SQLServer	河北省	301
552	CSS3	四川省	1489
553	Bootstrap	广东省	32072
554	iOS	海南省	4
555	Go	河南省	4
556	模型制作	山东省	19
557	Python	吉林省	4269
558	Java	四川省	100200
559	HTML/CSS	西藏自治区	232
560	Sass/Less	重庆市	53
561	jQuery	上海市	14130
562	jQuery	辽宁省	4056
563	JavaScript	江苏省	70286
564	Java	辽宁省	53656
565	C	浙江省	24708
566	前端工具	河北省	1478
567	WebApp	海南省	459
568	MongoDB	广东省	1018
569	Unity3D	山西省	45
570	Python	云南省	3049
571	Java	湖南省	42635
572	模型制作	吉林省	93
573	功能测试	辽宁省	45
574	WebApp	内蒙古自治区	126
575	HTML/CSS	贵州省	21463
576	云计算	广东省	518
577	SQLServer	广西壮族自治区	40
578	MySQL	山东省	2287
579	Linux	云南省	606
580	Python	北京市	80013
581	Python	陕西省	13594
582	C	湖南省	15366
583	C#	安徽省	1253
584	PHP	新疆维吾尔自治区	3124
585	Html5	海南省	510
586	前端工具	湖北省	2234
587	Unity3D	贵州省	26
588	C++	北京市	7222
589	HTML/CSS	全球	2111
590	MySQL	福建省	3168
591	Oracle	辽宁省	283
592	PHP	宁夏回族自治区	503
593	大数据	山西省	155
594	C#	广西壮族自治区	109
595	Cocos2d-x	上海市	278
